,year_month,count,URLs removed,URLs that were not in Google's search index,URLs for which we took no action,URLs pending review,From Abuser,Total urls,% abuser,% remove,% not in google,% no action
0,2011-10,4671,456538,0,35381,0,9,491919,0.0019267822736030828,92.81,0.0,7.19
1,2011-11,6443,713906,0,43957,0,12,757863,0.0018624864193698587,94.2,0.0,5.8
2,2011-12,8926,752858,0,75649,0,27,828507,0.003024871162894914,90.87,0.0,9.13
3,2011-3,1,44,0,1,0,0,45,0.0,97.78,0.0,2.22
4,2011-4,18,601,0,393,0,0,994,0.0,60.46,0.0,39.54
5,2011-5,66,1224,0,122,0,0,1346,0.0,90.94,0.0,9.06
6,2011-6,2821,62893,0,16993,0,0,79886,0.0,78.73,0.0,21.27
7,2011-7,3451,252188,0,26005,0,6,278193,0.0017386264850767893,90.65,0.0,9.35
8,2011-8,4174,475471,0,30824,0,15,506295,0.0035936751317680884,93.91,0.0,6.09
9,2011-9,4916,482158,0,40164,0,43,522322,0.008746948738812042,92.31,0.0,7.69
10,2012-1,15750,996551,0,110381,0,74,1106932,0.004698412698412698,90.03,0.0,9.97
11,2012-10,55415,7771310,0,739799,0,88,8511109,0.0015880176847423984,91.31,0.0,8.69
12,2012-11,27498,9665455,0,1883235,0,179,11548690,0.006509564331951415,83.69,0.0,16.31
13,2012-12,23180,13458793,0,1329537,0,23,14788330,0.000992234685073339,91.01,0.0,8.99
14,2012-2,15801,1141240,0,80614,0,120,1221854,0.007594456047085627,93.4,0.0,6.6
15,2012-3,15131,974911,0,96856,0,23,1071767,0.0015200581587469435,90.96,0.0,9.04
16,2012-4,51155,1151362,0,94208,0,32,1245570,0.0006255497996285798,92.44,0.0,7.56
17,2012-5,45648,1355860,0,88250,0,15,1444110,0.0003286014721345952,93.89,0.0,6.11
18,2012-6,42178,2081857,0,259429,0,6,2341286,0.00014225425577315187,88.92,0.0,11.08
19,2012-7,48345,3404901,0,1095835,0,78,4500736,0.0016134036611852311,75.65,0.0,24.35
